ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10059901,HY248706,5/05/2015 21:30,006XX W 18TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,TRUE,FALSE,1235,12,25,31,18,1172066,1891489,2015,5/12/2015 12:42,41.85769725,-87.64389343,"(41.857697246, -87.64389343)"
10061093,HY249556,5/05/2015 21:30,014XX N SEDGWICK ST,460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,1821,18,27,8,08B,1173337,1910187,2015,5/12/2015 12:42,41.90897762,-87.63867259,"(41.908977623, -87.638672585)"
10059911,HY248699,5/05/2015 21:30,042XX W THOMAS ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1111,11,37,23,26,1148112,1907042,2015,5/12/2015 12:42,41.90087062,-87.731419,"(41.900870618, -87.731418997)"
10059879,HY248680,5/05/2015 21:30,078XX S SOUTH SHORE DR,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,421,4,7,43,04A,1197801,1854018,2015,5/12/2015 12:42,41.75426926,-87.55068517,"(41.754269257, -87.550685171)"
10061314,HY249542,5/05/2015 21:29,035XX N BROADWAY,820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,FALSE,FALSE,1925,19,46,6,6,1171096,1923789,2015,5/12/2015 12:42,41.94635164,-87.64650466,"(41.946351638, -87.646504663)"
10059947,HY248697,5/05/2015 21:26,035XX S RHODES AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,TRUE,FALSE,212,2,4,35,15,1180124,1881661,2015,5/12/2015 12:42,41.8305472,-87.614618,"(41.830547198, -87.614618001)"
10062491,HY248675,5/05/2015 21:20,010XX N TRUMBULL AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1121,11,27,23,08B,1153145,1906667,2015,5/12/2015 12:42,41.89974319,-87.71294227,"(41.899743193, -87.712942267)"
10059931,HY248676,5/05/2015 21:15,046XX N BEACON ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,TRUE,1913,19,46,3,6,1166227,1931142,2015,5/12/2015 12:42,41.96663424,-87.66419043,"(41.966634244, -87.664190425)"
10061152,HY249528,5/05/2015 21:05,088XX S PAULINA ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,2221,22,21,71,11,1166595,1846037,2015,5/12/2015 12:42,41.73309034,-87.66527172,"(41.733090339, -87.665271717)"
10059857,HY248671,5/05/2015 21:03,010XX S MONITOR AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1513,15,29,25,08B,1137491,1895295,2015,5/12/2015 12:42,41.86883318,-87.77071412,"(41.868833175, -87.770714124)"
10060368,HY249037,5/05/2015 21:00,033XX N BROADWAY,890,THEFT,FROM BUILDING,BARBERSHOP,FALSE,FALSE,1925,19,44,6,6,1171619,1922411,2015,5/12/2015 12:42,41.94255884,-87.64462299,"(41.94255884, -87.644622994)"
10059872,HY248687,5/05/2015 21:00,022XX S SPRINGFIELD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1013,10,22,30,18,1150774,1888907,2015,5/12/2015 12:42,41.85105449,-87.72211556,"(41.851054492, -87.72211556)"
10060464,HY248981,5/05/2015 21:00,033XX S WELLS ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,915,9,11,34,7,1175209,1882654,2015,5/12/2015 12:42,41.8333835,-87.63262145,"(41.833383495, -87.632621446)"
10060313,HY249016,5/05/2015 21:00,019XX N WHIPPLE ST,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,1421,14,35,22,6,1155520,1912675,2015,5/12/2015 12:42,41.91618221,-87.70405695,"(41.916182205, -87.704056946)"
10059912,HY248719,5/05/2015 21:00,087XX S JEFFERY BLVD,560,ASSAULT,SIMPLE,CTA BUS,FALSE,FALSE,412,4,8,48,08A,1190987,1847617,2015,5/12/2015 12:42,41.73687172,-87.57586232,"(41.736871723, -87.575862317)"
10060551,HY248944,5/05/2015 21:00,078XX S WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,ABANDONED BUILDING,FALSE,FALSE,611,6,18,71,14,1164678,1852779,2015,5/12/2015 12:42,41.75163201,-87.67210484,"(41.751632007, -87.672104836)"
10059836,HY248669,5/05/2015 21:00,045XX S LECLAIRE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,814,8,23,56,14,1143166,1873926,2015,5/12/2015 12:42,41.81008963,-87.750412,"(41.810089629, -87.750412001)"
10063303,HY250917,5/05/2015 21:00,007XX N SACRAMENTO BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,FALSE,FALSE,1221,13,27,23,14,1156058,1904538,2015,5/12/2015 12:42,41.89384272,-87.70230027,"(41.89384272, -87.70230027)"
10060146,HY248656,5/05/2015 20:55,056XX W BERENICE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1633,16,38,15,6,1138208,1925074,2015,5/12/2015 12:42,41.95053733,-87.76736042,"(41.950537329, -87.767360423)"
10059827,HY248652,5/05/2015 20:55,012XX W 13TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1233,12,2,28,26,1168162,1894157,2015,5/12/2015 12:42,41.86510359,-87.65814635,"(41.86510359, -87.658146349)"
10059884,HY248686,5/05/2015 20:49,0000X W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA GARAGE / OTHER PROPERTY,TRUE,FALSE,731,7,6,69,18,1177296,1859236,2015,5/12/2015 12:42,41.76907534,-87.62567131,"(41.769075338, -87.625671308)"
10060515,HY249019,5/05/2015 20:45,016XX W MADISON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS,FALSE,TRUE,1224,13,27,28,08B,1165689,1900136,2015,5/12/2015 12:42,41.88156348,-87.66705438,"(41.881563477, -87.667054378)"
10059878,HY248651,5/05/2015 20:44,079XX S BURNHAM AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,422,4,7,46,14,1196263,1852714,2015,5/12/2015 12:42,41.75072924,-87.55636448,"(41.750729239, -87.556364478)"
10059842,HY248653,5/05/2015 20:40,076XX S YATES BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,414,4,7,43,08B,1193493,1854532,2015,5/12/2015 12:42,41.75578617,-87.5664555,"(41.75578617, -87.566455496)"
